run_id	commit	resolution	wall_time_ms	model_ms	decode_ms	encode_ms	peak_vram_gb	text_score	layout_score	motion_score	loop_error	status	description
20260424T012710Z-stub_freeze-960x544	nogit	960x544	416.229	5.359	0.000	374.419	NA	1.0000	1.0000	0.0000	0.0000	stub	stub freeze lower-bound, no generated motion
20260424T013710Z-modal-ltx-s1-960x544	nogit	960x544	118489.711	0.000	0.000	0.000	NA	NA	NA	NA	NA	crash	Modal LTX crash: index 0 is out of bounds for dimension 0 with size 0
20260424T013908Z-modal-ltx-s2-960x544	nogit	960x544	1628.080	816.257	0.000	459.712	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T013910Z-modal-ltx-s3-960x544	nogit	960x544	1238.974	758.790	0.000	237.328	14.1679	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
20260424T013911Z-modal-ltx-s4-960x544	nogit	960x544	1314.849	846.543	0.000	242.605	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T013912Z-modal-ltx-s1-768x448	nogit	768x448	287.808	0.000	0.000	0.000	NA	NA	NA	NA	NA	crash	Modal LTX crash: index 0 is out of bounds for dimension 0 with size 0
20260424T013913Z-modal-ltx-s2-768x448	nogit	768x448	884.885	392.436	0.000	224.969	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T013914Z-modal-ltx-s3-768x448	nogit	768x448	892.319	449.448	0.000	219.547	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
20260424T013914Z-modal-ltx-s4-768x448	nogit	768x448	1002.189	501.354	0.000	230.629	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=4 guidance=1.0
20260424T013915Z-modal-ltx-s1-1280x736	nogit	1280x736	504.153	0.000	0.000	0.000	NA	NA	NA	NA	NA	crash	Modal LTX crash: index 0 is out of bounds for dimension 0 with size 0
20260424T013916Z-modal-ltx-s2-1280x736	nogit	1280x736	1741.895	1167.811	0.000	274.493	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T013918Z-modal-ltx-s3-1280x736	nogit	1280x736	1978.863	1296.137	0.000	265.994	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T013920Z-modal-ltx-s4-1280x736	nogit	1280x736	2104.373	1471.221	0.000	302.994	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T013922Z-modal-ltx-s1-960x544	nogit	960x544	422.001	0.000	0.000	0.000	NA	NA	NA	NA	NA	crash	Modal LTX crash: index 0 is out of bounds for dimension 0 with size 0
20260424T013922Z-modal-ltx-s2-960x544	nogit	960x544	1259.503	675.234	0.000	257.665	14.1682	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T013924Z-modal-ltx-s3-960x544	nogit	960x544	1199.864	761.222	0.000	238.596	14.1679	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
20260424T013925Z-modal-ltx-s4-960x544	nogit	960x544	1319.148	842.757	0.000	246.311	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T013926Z-modal-ltx-s1-768x448	nogit	768x448	258.466	0.000	0.000	0.000	NA	NA	NA	NA	NA	crash	Modal LTX crash: index 0 is out of bounds for dimension 0 with size 0
20260424T013926Z-modal-ltx-s2-768x448	nogit	768x448	907.021	397.976	0.000	212.922	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T013927Z-modal-ltx-s3-768x448	nogit	768x448	864.036	454.769	0.000	222.658	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
20260424T013928Z-modal-ltx-s4-768x448	nogit	768x448	930.251	505.226	0.000	232.328	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=4 guidance=1.0
20260424T013929Z-modal-ltx-s1-1280x736	nogit	1280x736	493.854	0.000	0.000	0.000	NA	NA	NA	NA	NA	crash	Modal LTX crash: index 0 is out of bounds for dimension 0 with size 0
20260424T013930Z-modal-ltx-s2-1280x736	nogit	1280x736	1711.063	1128.828	0.000	275.874	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T013931Z-modal-ltx-s3-1280x736	nogit	1280x736	1949.141	1298.321	0.000	277.823	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T013933Z-modal-ltx-s4-1280x736	nogit	1280x736	2103.139	1475.258	0.000	280.527	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T013935Z-modal-ltx-s1-960x544	nogit	960x544	328.393	0.000	0.000	0.000	NA	NA	NA	NA	NA	crash	Modal LTX crash: index 0 is out of bounds for dimension 0 with size 0
20260424T013936Z-modal-ltx-s2-960x544	nogit	960x544	1215.610	667.852	0.000	248.749	14.1682	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T013937Z-modal-ltx-s3-960x544	nogit	960x544	1278.150	759.067	0.000	252.141	14.1679	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
20260424T013938Z-modal-ltx-s4-960x544	nogit	960x544	1321.995	845.208	0.000	238.444	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T013940Z-modal-ltx-s1-768x448	nogit	768x448	270.054	0.000	0.000	0.000	NA	NA	NA	NA	NA	crash	Modal LTX crash: index 0 is out of bounds for dimension 0 with size 0
20260424T013940Z-modal-ltx-s2-768x448	nogit	768x448	819.609	394.214	0.000	230.706	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T013941Z-modal-ltx-s3-768x448	nogit	768x448	949.024	454.018	0.000	222.851	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
20260424T013942Z-modal-ltx-s4-768x448	nogit	768x448	927.887	509.185	0.000	222.170	14.0142	NA	NA	NA	NA	pass	Modal LTX I2V steps=4 guidance=1.0
20260424T013957Z-modal-ltx-s2-768x448	nogit	768x448	49609.465	1059.696	0.000	437.159	14.0147	NA	NA	NA	NA	fail	Modal LTX I2V steps=2 guidance=1.0
20260424T014047Z-modal-ltx-s3-768x448	nogit	768x448	883.871	455.884	0.000	207.527	14.0152	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
20260424T014048Z-modal-ltx-s4-768x448	nogit	768x448	948.967	508.818	0.000	208.327	14.0152	NA	NA	NA	NA	pass	Modal LTX I2V steps=4 guidance=1.0
20260424T014049Z-modal-ltx-s6-768x448	nogit	768x448	1085.866	615.607	0.000	224.011	14.0152	NA	NA	NA	NA	pass	Modal LTX I2V steps=6 guidance=1.0
20260424T014050Z-modal-ltx-s8-768x448	nogit	768x448	1171.154	722.885	0.000	212.822	14.0152	NA	NA	NA	NA	pass	Modal LTX I2V steps=8 guidance=1.0
20260424T014051Z-modal-ltx-s2-896x512	nogit	896x512	1152.909	688.067	0.000	223.087	14.1189	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T014052Z-modal-ltx-s3-896x512	nogit	896x512	1141.935	648.947	0.000	240.968	14.1189	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
20260424T014053Z-modal-ltx-s4-896x512	nogit	896x512	1192.674	733.541	0.000	226.405	14.1189	NA	NA	NA	NA	pass	Modal LTX I2V steps=4 guidance=1.0
20260424T014054Z-modal-ltx-s6-896x512	nogit	896x512	1346.790	878.190	0.000	222.307	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T014056Z-modal-ltx-s8-896x512	nogit	896x512	1510.436	1039.120	0.000	225.918	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T014057Z-modal-ltx-s2-960x544	nogit	960x544	1265.922	778.162	0.000	220.935	14.1682	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
