run_id	commit	input_resolution	output_resolution	frames	fps	wall_time_ms	preprocess_ms	mask_ms	render_ms	encode_ms	text_score	layout_score	motion_score	loop_error	protected_ratio	status	description
20260427T003108Z-track-b-hybrid-dense-text-hybrid-960x544	37445fe	960x544	960x544	33	24	8398.549	379.906	84.031	7276.513	630.754	0.4839	0.9992	0.0188	0.0009	0.2293	latency_fail	Track B deterministic masked parallax hybrid animation
20260427T003107Z-track-b-hybrid-naturalist-hybrid-960x540	37445fe	960x540	960x540	33	24	8979.128	1055.701	342.197	7138.003	440.341	0.2064	0.9994	0.0150	0.0014	0.3819	latency_fail	Track B deterministic masked parallax hybrid animation
20260427T003252Z-track-b-hybrid-dense-text-hybrid-lighting-960x544	37445fe	960x544	960x544	33	24	3892.263	368.006	227.499	2928.504	363.940	0.9480	0.9999	0.0100	0.0002	0.2293	latency_fail	Track B deterministic masked parallax hybrid animation
20260427T003252Z-track-b-hybrid-naturalist-hybrid-lighting-960x540	37445fe	960x540	960x540	33	24	5614.222	1493.053	347.570	3248.654	518.118	0.0382	0.9999	0.0079	0.0008	0.3819	latency_fail	Track B deterministic masked parallax hybrid animation
20260427T003356Z-track-b-hybrid-dense-text-hybrid-lighting-fast-960x544	37445fe	960x544	960x544	33	24	435.755	38.045	38.651	240.528	109.951	0.7156	0.9999	0.0106	0.0002	0.2293	quality_fail	Track B deterministic masked parallax hybrid animation
20260427T003356Z-track-b-hybrid-naturalist-hybrid-lighting-fast-960x540	37445fe	960x540	960x540	33	24	544.692	155.193	42.413	250.501	93.692	0.1539	0.9999	0.0082	0.0008	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T003532Z-track-b-hybrid-dense-text-fast-drift-33-960x544	37445fe	960x544	960x544	33	24	575.319	48.056	43.271	342.206	138.876	0.4402	1.0000	0.0032	0.0002	0.2293	quality_fail	Track B deterministic masked parallax hybrid animation
20260427T003532Z-track-b-hybrid-naturalist-fast-drift-33-960x540	37445fe	960x540	960x540	33	24	722.097	182.207	48.646	334.924	153.017	0.0383	1.0000	0.0061	0.0011	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T003532Z-track-b-hybrid-naturalist-fast-drift-121-960x540	37445fe	960x540	960x540	121	24	2196.894	177.231	49.898	1513.303	443.346	0.0330	1.0000	0.0061	0.0007	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T003620Z-track-b-hybrid-naturalist-fast-drift-121-midmax-960x540	37445fe	960x540	960x540	121	24	2033.581	160.337	42.957	1159.189	667.880	0.0411	0.9980	0.0439	0.0007	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T003644Z-track-b-hybrid-naturalist-fast-drift-121-klingish-960x540	37445fe	960x540	960x540	121	24	1414.706	157.935	41.129	1008.629	204.060	0.1861	0.9996	0.0197	0.0007	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T004100Z-track-b-hybrid-naturalist-ffmpeg-drift-121-klingish-960x540	37445fe	960x540	960x540	121	24	308.273	120.665	32.914	0.000	154.650	0.0700	0.9997	0.0169	0.0012	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T004122Z-track-b-hybrid-naturalist-ffmpeg-drift-121-klingish-prefit-960x540	37445fe	960x540	960x540	121	24	291.067	99.066	33.824	0.000	158.138	0.0700	0.9997	0.0169	0.0012	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T004143Z-track-b-hybrid-naturalist-ffmpeg-drift-121-klingish-prefit-fastfit-960x540	37445fe	960x540	960x540	121	24	287.410	96.970	33.244	0.000	157.149	0.0700	0.9997	0.0169	0.0012	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T004208Z-track-b-hybrid-naturalist-ffmpeg-drift-121-klingish-prefit-copy-960x540	37445fe	960x540	960x540	121	24	196.438	9.433	34.772	0.000	152.206	0.0700	0.9997	0.0169	0.0012	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T004228Z-track-b-hybrid-naturalist-ffmpeg-drift-33-klingish-prefit-copy-960x540	37445fe	960x540	960x540	33	24	123.498	9.771	35.144	0.000	78.556	0.1465	0.9997	0.0169	0.0012	0.3819	pass	Track B deterministic masked parallax hybrid animation
20260427T022407Z-track-b-hybrid-naturalist-ffmpeg-drift-121-product-fastpath-960x540	37445fe	960x540	960x540	121	24	246.982	4.547	12.198	0.000	230.207	0.0700	0.9997	0.0169	0.0012	0.0000	pass	Track B deterministic masked parallax hybrid animation
20260427T022541Z-track-b-hybrid-naturalist-ffmpeg-drift-121-product-fastpath-skipocr-960x540	37445fe	960x540	960x540	121	24	179.312	4.665	3.130	0.000	171.488	-1.0000	0.9997	0.0169	0.0012	0.0000	pass	Track B deterministic masked parallax hybrid animation
