run_id	commit	model	endpoint	input_resolution	output_resolution	requested_frames	output_frames	duration_s	api_wall_ms	download_ms	text_score	layout_score	motion_score	loop_error	status	description
20260425T134237Z-fal-ltx-text-fixture-smoke-960x540	3d4d96f	ltx	fal-ai/ltx-video-13b-distilled/image-to-video	960x540	832x480	33	33	1.375	48834.813	223.097	0.0179	0.9972	0.0019	0.0024	quality_fail	fal ltx image-to-video benchmark
20260425T134237Z-fal-kling-text-fixture-smoke-960x540	3d4d96f	kling	fal-ai/kling-video/v2.5-turbo/standard/image-to-video	960x540	1280x720	5s	121	5.041667	48237.031	639.385	0.6442	0.9993	0.0077	0.0082	quality_fail	fal kling image-to-video benchmark
20260425T134448Z-fal-kling-static-text-cfg01-960x540	3d4d96f	kling	fal-ai/kling-video/v2.5-turbo/standard/image-to-video	960x540	1280x720	5s	121	5.041667	49074.776	793.642	0.7065	0.9962	0.0104	0.0467	pass	fal kling image-to-video benchmark
20260425T135104Z-fal-kling-canal-city-illustration-960x540	3d4d96f	kling	fal-ai/kling-video/v2.5-turbo/standard/image-to-video	960x540	1280x720	5s	121	5.041667	59150.927	1100.720	0.1562	0.9992	0.0159	0.0167	pass	fal kling image-to-video benchmark
20260425T135104Z-fal-ltx-canal-city-illustration-960x540	3d4d96f	ltx	fal-ai/ltx-video-13b-distilled/image-to-video	960x540	832x480	33	33	1.375	78474.908	1517.728	0.2746	0.9917	0.0075	0.0085	pass	fal ltx image-to-video benchmark
20260425T144658Z-fal-kling-fal-kling-naturalist-etching-960x540-960x540	3d4d96f	kling	fal-ai/kling-video/v2.5-turbo/standard/image-to-video	960x540	1280x720	5s	121	5.041667	47176.049	914.324	0.0378	0.9990	0.0149	0.0121	pass	fal kling image-to-video benchmark
20260425T160020Z-fal-kling-fal-kling-naturalist-etching-living-v2-960x540-960x540	3d4d96f	kling	fal-ai/kling-video/v2.5-turbo/standard/image-to-video	960x540	1280x720	5s	121	5.041667	49403.093	802.668	0.0393	0.9995	0.0125	0.0112	pass	fal kling image-to-video benchmark
20260426T191224Z-fal-ltx23-fast-ltx23-fast-text-preservation-1920x1080	37445fe	ltx23-fast	fal-ai/ltx-2.3/image-to-video/fast	1920x1080	1920x1080	6s@24fps	144	6.0	21898.282	885.590	0.4603	0.9567	0.1947	0.2376	quality_fail	fal ltx23-fast image-to-video benchmark
20260426T191331Z-fal-ltx23-fast-ltx23-fast-naturalist-1920x1080	37445fe	ltx23-fast	fal-ai/ltx-2.3/image-to-video/fast	1920x1080	1920x1080	6s@24fps	144	6.0	22773.547	2024.294	0.0415	0.9441	0.1865	0.1886	pass	fal ltx23-fast image-to-video benchmark
20260426T233957Z-ltx-api-ltx-2-3-fast-official-ltx-api-text-preservation-1920x1080	37445fe	ltx-api-ltx-2-3-fast	https://api.ltx.video/v1/image-to-video	1920x1080	1920x1080	6s@24fps	144	6.0	17400.353	1.330	0.3201	0.9740	0.1426	0.1537	quality_fail	official LTX API image-to-video benchmark model=ltx-2-3-fast
20260426T234111Z-ltx-api-ltx-2-3-fast-official-ltx-api-naturalist-1920x1080	37445fe	ltx-api-ltx-2-3-fast	https://api.ltx.video/v1/image-to-video	1920x1080	1920x1080	6s@24fps	144	6.0	22081.224	2.463	0.0629	0.9842	0.0953	0.1102	pass	official LTX API image-to-video benchmark model=ltx-2-3-fast
20260426T234547Z-ltx-api-ltx-2-fast-official-ltx2-fast-text-preservation-1920x1080	37445fe	ltx-api-ltx-2-fast	https://api.ltx.video/v1/image-to-video	1920x1080	1920x1080	6s@25fps	153	6.12	36782.513	1.614	0.3633	0.9881	0.0654	0.0729	quality_fail	official LTX API image-to-video benchmark model=ltx-2-fast
20260427T235031Z-ltx-api-ltx-2-3-fast-official-ltx-api-text-lastframe-1920x1080	37445fe	ltx-api-ltx-2-3-fast	https://api.ltx.video/v1/image-to-video	1920x1080	1920x1080	6s@24fps	144	6.0	18426.471	0.537	0.6861	0.9895	0.1020	0.0226	quality_fail	official LTX API image-to-video benchmark model=ltx-2-3-fast
